source_publication_label,reference_title_if_verified,doi_or_url_evidence,metadata_evidence_source,plotted_rows,visible_comparator_rows,countries_represented,unique_site_or_location_count,source_dataset_labels,source_file_or_table_trace,reference_label_audit_status,s1_use,claim_boundary
"Lazaridis et al., Science 2022",The genetic history of the Southern Arc: A bridge between West Asia and Europe,https://doi.org/10.1126/science.abm4247,Local Southern Arc source workbook plus Science DOI metadata,102,44,Albania; Croatia; Montenegro; North Macedonia; Serbia,22,"AADR v66 1240K public annotation; Lazaridis et al., Science 2022 source data table",science.abm4247_data_s1.xlsx,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Marjanovic et al., Genes 2026",At the Crossroads of Continents: Ancient DNA Insights into the Maternal and Paternal Population History of Croatia,https://doi.org/10.3390/genes17010080,University of Vienna / MDPI metadata checked 2026-07-02,15,4,Croatia,5,"Marjanovic et al., Genes 2026 Supplementary Table S1",genes-4035844-supplementary.xlsx,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Maroti et al., Current Biology 2022","The genetic origin of Huns, Avars, and conquering Hungarians",https://doi.org/10.1016/j.cub.2022.04.093,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,4,0,Hungary,2,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Mathieson et al., Nature 2018",The genomic history of southeastern Europe,https://doi.org/10.1038/nature25778,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,3,1,Croatia,2,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Olalde et al., Cell 2023",A Genetic History of the Balkans from Roman Frontier to Slavic Migrations,https://doi.org/10.1016/j.cell.2023.10.018,Local manuscript reference metadata plus source Data S2 workbook,95,15,Croatia; Serbia,22,"AADR v66 1240K public annotation; Olalde et al., Cell 2023 Data S2 Table 1",NIHMS1944038-supplement-Data_S2.xlsx,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Patterson et al., Nature 2021",Large-scale migration into Britain during the Middle to Late Bronze Age,https://doi.org/10.1038/s41586-021-04287-4,Nature article page checked 2026-07-02,41,19,Croatia; Hungary; Serbia; Slovenia,17,"AADR v66 1240K public annotation; Patterson et al., Nature 2021 supplementary source table",published supplementary source table retained in the S1 plotted-point source row; DOI recorded in s1_14,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Ravasini et al., Genome Biology 2024",The genomic portrait of the Picene culture provides new insights into the Italic Iron Age and the legacy of the Roman Empire in Central Italy,https://doi.org/10.1186/s13059-024-03430-4,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,7,0,Italy,1,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Saupe et al., Current Biology 2021",Ancient genomes reveal structural shifts after the arrival of Steppe-related ancestry in the Italian Peninsula,https://doi.org/10.1016/j.cub.2021.04.022,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,1,0,Italy,1,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Zagorc et al., Archaeological and Anthropological Sciences 2024","Bioarchaeological Perspectives on Late Antiquity in Dalmatia: Paleogenetic, Dietary, and Population Studies of the Hvar-Radosevic burial site",https://doi.org/10.1007/s12520-024-02050-0,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,21,3,Croatia,1,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Zegarac et al., Scientific Reports 2021",Ancient genomes provide insights into family structure and the heredity of social status in the early Bronze Age of southeastern Europe,https://doi.org/10.1038/s41598-021-89090-x,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,24,0,Serbia,1,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
